,Frequency Center-Point Saline,Frequency Center-Point Ghr
Black Cement,143,196
Flugume,203,130
Gamma Ray,191,163
Off White,188,185
Shattered Backboard,253,173
Trophy Room,144,165
Chupacabra,122,177
Hyde,253,196
Jekyl,248,164
Llorona,201,206
Medusa,211,262
Yeti,481,345
Chicago Bred,168,141
Crimson Tint,266,149
Space Jam,209,195
University Blue,210,121
